Campanha,Visualizações,Custo,Reprod. do vídeo até 25%,Reprod. do vídeo até 50%,Reprod. do vídeo até 75%,Reprod. do vídeo até 100%
v1.1 #1 [IMP] [Ideias] [EXTERNOS],411,"5,07","19,56%","10,51%","7,82%","5,38%"
v1.1 #2 [IMP] [Ideias] [EXTERNOS],301,"4,98","26,87%","20,41%","17,35%","12,59%"
v10.6 [IMP] [Ideias] [EXTERNOS],37,"0,52","10,53%","2,63%",0%,0%
v11.0 [IMP] [Principal] [INTERNOS],463,"4,96","1,97%","1,31%","0,88%",0%
v11.1 [IMP] [Ideias] [EXTERNOS],0,0,--,--,--,--
v11.13.1 [IMP] [Ideias] [EXTERNOS][g],991,"13,07","45,96%","37,05%","28,56%","15,56%"
v11.7 [IMP] [Ideias] [EXTERNOS],33,"0,46","14,71%","11,76%","5,88%",0%
v12.0 [IMP] [Principal] [INTERNOS],455,"4,98","1,33%","0,89%","0,67%","0,67%"
v12.1 [IMP] [Ideias] [EXTERNOS],353,"4,48","15,25%","10,45%","9,32%","5,65%"
v5.2 [IMP] [Ideias] [EXTERNOS],365,"4,99","4,04%","2,7%","1,62%","0,54%"
v5.3 [IMP] [Ideias] [EXTERNOS],381,"5,02","9,82%","4,65%","3,62%","3,1%"
v5.4 [IMP] [Ideias] [EXTERNOS],334,"4,65","4,64%","2,9%","2,61%","0,29%"
v5.5 [IMP] [Ideias] [EXTERNOS] [G],1807,"23,58","13,07%","8,91%","6,72%","3,23%"
v6.0 [IMP] [Principal] [EXTERNOS] [g],1603,"27,71","10,5%","6,85%","4,97%","1,19%"
v6.0 [IMP] [Principal] [INTERNOS] [G],2480,"27,58","5,38%","3,76%","2,79%","0,73%"
v7.0 [IMP] [Principal] [EXTERNOS][G],1183,"15,37","9,49%","4,1%","2,39%","0,09%"
v7.0 [IMP] [Principal] [INTERNOS][g],404,"6,31","6,02%","3,51%","2,76%",0%
v7.1 [IMP] [Ideias] [EXTERNOS] [G] ,2393,"32,11","17,7%","11,6%",8%,"3,34%"
v7.2 [IMP] [Ideias] [EXTERNOS],398,"5,01","8,29%","5,28%","3,27%","2,01%"
v7.3 [IMP] [Ideias] [EXTERNOS],0,0,--,--,--,--
v7.4 [IMP] [Ideias] [EXTERNOS],394,"4,84","6,8%","4,53%","3,53%","2,52%"
