Video,Video title,Video publish time,Watch time (hours),Shares,Dislikes,Likes,Comments added,Views,Subscribers
9XAxSrlKaa4,v1.0: A Jornada do Desenvolvedor,"Jun 16, 2020","19,5",1,0,33,3,283,13
dVrSf_wR3tE,v1.1: Porque somente trabalhar lhe impede de evoluir na TI?,"Jun 25, 2020","9,1",2,1,34,1,930,13
3t47lX3-O2k,v10.0: Qual é a linguagem de programação melhor para quem está começando?,"Aug 9, 2020","16,8",2,1,31,1,537,7
F4gCyGATOaw,v10.1: O que é sintaxe e semântica nas linguagens de programação?,"Sep 16, 2020","3,2",1,0,12,0,154,3
NVh1OQfojJc,v10.2: Como estudar infraestrutura?,"Sep 23, 2020","1,2",0,0,3,0,67,3
TVrKx56SCmw,v10.3: Como configurar o Ruby para estudar?,"Sep 30, 2020","0,6",0,0,1,0,13,0
1OaRT7heJ58,v10.4: Como configurar o Php para estudar?,"Jan 1, 1970","0,0",0,0,0,0,0,0
yNYXOU_j_ag,v10.5: Como configurar o Java para estudar?,"Jan 1, 1970","0,0",0,0,0,0,0,0
lek2gaCtNro,v10.6: Como configurar o Javascript para estudar?,"Sep 20, 2020","1,9",0,0,9,0,85,2
E_ufT_w4quY,v10.7: Como configurar o Python para estudar?,"Jan 1, 1970","0,0",0,0,0,0,0,0
